Bulan,Forecast,Lower 95%,Upper 95%
Jan 2025,53738.0,34925.0,72550.0
Feb 2025,53738.0,28394.0,79081.0
Mar 2025,53738.0,23230.0,84245.0
Apr 2025,53738.0,18822.0,88653.0
May 2025,53738.0,14911.0,92564.0
Jun 2025,53738.0,11360.0,96116.0
Jul 2025,53738.0,8084.0,99392.0
Aug 2025,53738.0,5027.0,102448.0
Sep 2025,53738.0,2152.0,105324.0
Oct 2025,53738.0,0.0,108047.0
Nov 2025,53738.0,0.0,110640.0
Dec 2025,53738.0,0.0,113120.0
Jan 2026,53738.0,0.0,115501.0
Feb 2026,53738.0,0.0,117793.0
Mar 2026,53738.0,0.0,120006.0
Apr 2026,53738.0,0.0,122147.0
May 2026,53738.0,0.0,124224.0
Jun 2026,53738.0,0.0,126241.0
Jul 2026,53738.0,0.0,128203.0
Aug 2026,53738.0,0.0,130115.0
Sep 2026,53738.0,0.0,131980.0
Oct 2026,53738.0,0.0,133802.0
Nov 2026,53738.0,0.0,135583.0
Dec 2026,53738.0,0.0,137326.0
